Type;Service;meter_id;;;;
Small;Anciliary services;meter_218;;;;
Small;Clients;meter_139;;;;
Small;Clients;meter_204;;;;
Medium;Anciliary services;meter_216;;;;
Medium;Clients;meter_26;;;;
Medium;Clients;meter_54;;;;
Medium;Clients;meter_86;;;;
Medium;Clients;meter_199;;;;
Medium;Clients;meter_19;;;;
Medium;Clients;meter_32;;;;
Medium;Clients;meter_59;;;;
Medium;Clients;meter_207;;;;
Large;Anciliary services;meter_217;;;;
Large;Clients;meter_78;;;;
Large;Clients;meter_84;;;;
Large;Clients;meter_60;;;;
Large;Clients;meter_107;;;;
Large;Clients;meter_54;;;;
Large;Clients;meter_106;;;;
Large;Clients;meter_32;;;;
Large;Clients;meter_158;;;;
Large;Clients;meter_58;;;;
Large;Clients;meter_48;;;;
Large;Clients;meter_4;;;;
Large;Clients;meter_118;;;;
Large;Clients;meter_148;;;;
Large;Clients;meter_204;;;;
Large;Clients;meter_110;;;;
Large;Clients;meter_27;;;;
Large;Clients;meter_62;;;;
Large;Clients;meter_103;;;;
Large;Clients;meter_133;;;;
Large;Clients;meter_143;;;;
Large;Clients;meter_151;;;;
Large;Clients;meter_6;;;;
Large;Clients;meter_126;;;;
Large;Clients;meter_121;;;;
Large;Clients;meter_159;;;;
Large;Clients;meter_108;;;;
Large;Clients;meter_52;;;;
Large;Clients;meter_147;;;;
