Date;Holiday;National/Local;;
10/5/16;Republic Day;National;;
11/1/16;All Saints Day;National;;
12/1/16;Restoration of Independence;National;;
12/8/16;Immaculate Conception;National;;
12/25/16;Christmas;National;;
1/1/17;New Year's Day;National;;
4/14/17;Good Friday;National;;
4/16/17;Easter;National;;
4/25/17;Freedom day;National;;
5/1/17;Labor Day ;National;;
6/10/17;Portugal Day;National;;
6/13/17;Saint Anthony;Local(Lisboa);;
6/15/17;Corpus Christi;National;;
8/15/17;Assumption;National;;
10/5/17;Republic Day;National;;
11/1/17;All Saints Day;National;;
12/1/17;Restoration of Independence;National;;
12/8/17;Immaculate Conception;National;;
12/25/17;Christmas;National;;
1/1/18;New Year's Day;National;;
3/30/18;Good Friday;National;;
4/1/18;Easter;National;;
4/25/18;Freedom day;National;;
5/1/18;Labor Day ;National;;
6/10/18;Portugal Day;National;;
6/13/18;Saint Anthony;Local(Lisboa);;
6/15/18;Corpus Christi;National;;
8/15/18;Assumption;National;;
