Contracted Power;Tariff Type;Power Cost eur/day;Peak Periods Energy Cost eur/kwh;Off-Peak periods Energy Cost eur/kwh;Super Off-Peak Energy Cost eur/kwh
3,45;Simple Tariff;0,1645;0,1557;;
4,6;Simple Tariff;0,2138;0,1557;;
5,75;Simple Tariff;0,2628;0,1557;;
6,9;Simple Tariff;0,3118;0,1557;;
10,35;Simple Tariff;0,4589;0,1559;;
13,8;Simple Tariff;0,606;0,1559;;
17,25;Simple Tariff;0,7531;0,1559;;
20,7;Simple Tariff;0,9001;0,1559;;
3,45;Time-of-Use two periods;0,1645;0,1875;0,1024;
4,6;Time-of-Use two periods;0,2138;0,1875;0,1024;
5,75;Time-of-Use two periods;0,2628;0,1875;0,1024;
6,9;Time-of-Use two periods;0,3118;0,1875;0,1024;
10,35;Time-of-Use two periods;0,4589;0,189;0,1025;
13,8;Time-of-Use two periods;0,606;0,189;0,1025;
17,25;Time-of-Use two periods;0,7531;0,189;0,1025;
20,7;Time-of-Use two periods;0,9001;0,189;0,1025;
3,45;Time-of-Use three periods;0,1645;0,2246;0,1682;0,1024
4,6;Time-of-Use three periods;0,2138;0,2246;0,1682;0,1024
5,75;Time-of-Use three periods;0,2628;0,2246;0,1682;0,1024
6,9;Time-of-Use three periods;0,3118;0,2246;0,1682;0,1024
10,35;Time-of-Use three periods;0,4589;0,2287;0,1704;0,1025
13,8;Time-of-Use three periods;0,606;0,2287;0,1704;0,1025
17,25;Time-of-Use three periods;0,7531;0,2287;0,1704;0,1025
20,7;Time-of-Use three periods;0,9001;0,2287;0,1704;0,1025
