meter_id;tariff;n_phases;ctrct_pw
meter_0;Time-Of-Use Two Periods ;T ;20.7
meter_1;Time-Of-Use Two Periods ;T ;20.7
meter_2;Simple Tariff ;M ;4.6
meter_3;Simple Tariff ;M ;3.45
meter_4;Simple Tariff ;T ;6.9
meter_5;Simple Tariff ;T ;6.9
meter_6;Time-Of-Use Two Periods ;M ;4.6
meter_7;Simple Tariff ;T ;10.35
meter_8;Simple Tariff ;T ;20.7
meter_9;Simple Tariff ;T ;20.7
meter_10;Simple Tariff ;T ;6.9
meter_11;Simple Tariff ;M ;6.9
meter_12;Simple Tariff ;T ;13.8
meter_13;Simple Tariff ;T ;4.6
meter_14;Simple Tariff ;T ;17.25
meter_15;Simple Tariff ;T ;13.8
meter_16;Simple Tariff ;M ;6.9
meter_17;Simple Tariff ;T ;13.8
meter_18;Time-Of-Use Two Periods ;T ;10.35
meter_19;Simple Tariff ;M ;6.9
meter_20;Simple Tariff ;M ;6.9
meter_21;Time-Of-Use Two Periods ;T ;10.35
meter_22;Simple Tariff ;T ;10.35
meter_23;Simple Tariff ;M ;6.9
meter_24;Simple Tariff ;T ;13.8
meter_25;Simple Tariff ;M ;3.45
meter_26;Time-Of-Use Two Periods ;T ;6.9
meter_27;Time-Of-Use Three Periods ;T ;20.7
meter_28;Simple Tariff ;T ;3.45
meter_29;Time-Of-Use Two Periods ;T ;3.45
meter_30;Time-Of-Use Three Periods ;M ;6.9
meter_31;Simple Tariff ;M ;3.45
meter_32;Simple Tariff ;T ;20.7
meter_33;Simple Tariff ;T ;17.25
meter_34;Simple Tariff ;M ;4.6
meter_35;Simple Tariff ;T ;20.7
meter_36;Simple Tariff ;M ;6.9
meter_37;Simple Tariff ;T ;20.7
meter_38;Simple Tariff ;T ;10.35
meter_39;Time-Of-Use Three Periods ;T ;3.45
meter_40;Time-Of-Use Two Periods ;T ;20.7
meter_41;Simple Tariff ;T ;6.9
meter_42;Time-Of-Use Two Periods ;M ;6.9
meter_43;Time-Of-Use Two Periods ;T ;20.7
meter_44;Time-Of-Use Two Periods ;T ;17.25
meter_45;Simple Tariff ;M ;6.9
meter_46;Simple Tariff ;T ;13.8
meter_47;Simple Tariff ;M ;3.45
meter_48;Time-Of-Use Two Periods ;T ;17.25
meter_49;Simple Tariff ;M ;4.6
meter_50;Simple Tariff ;T ;13.8
meter_51;Simple Tariff ;T ;13.8
meter_52;Simple Tariff ;M ;4.6
meter_53;Simple Tariff ;M ;10.35
meter_54;Time-Of-Use Two Periods ;T ;17.25
meter_55;Time-Of-Use Three Periods ;T ;6.9
meter_56;Simple Tariff ;M ;6.9
meter_57;Simple Tariff ;T ;6.9
meter_58;Simple Tariff ;T ;6.9
meter_59;Time-Of-Use Three Periods ;T ;6.9
meter_60;Time-Of-Use Two Periods ;T ;6.9
meter_61;Simple Tariff ;T ;13.8
meter_62;Simple Tariff ;T ;6.9
meter_63;Simple Tariff ;T ;20.7
meter_64;Time-Of-Use Three Periods ;T ;20.7
meter_65;Simple Tariff ;M ;6.9
meter_66;Simple Tariff ;T ;20.7
meter_67;Simple Tariff ;T ;20.7
meter_68;Time-Of-Use Three Periods ;M ;6.9
meter_69;Time-Of-Use Two Periods ;M ;10.35
meter_70;Simple Tariff ;T ;17.25
meter_71;Simple Tariff ;M ;3.45
meter_72;Simple Tariff ;T ;20.7
meter_73;Time-Of-Use Three Periods ;M ;6.9
meter_74;Simple Tariff ;T ;10.35
meter_75;Simple Tariff ;T ;3.45
meter_76;Simple Tariff ;M ;6.9
meter_77;Simple Tariff ;T ;6.9
meter_78;Simple Tariff ;T ;17.25
meter_79;Time-Of-Use Two Periods ;M ;6.9
meter_80;Time-Of-Use Two Periods ;T ;13.8
meter_81;Simple Tariff ;M ;3.45
meter_82;Time-Of-Use Two Periods ;T ;17.25
meter_83;Time-Of-Use Two Periods ;M ;3.45
meter_84;Simple Tariff ;M ;6.9
meter_85;Simple Tariff ;M ;6.9
meter_86;Simple Tariff ;T ;20.7
meter_87;Time-Of-Use Two Periods ;M ;3.45
meter_88;Simple Tariff ;M ;6.9
meter_89;Time-Of-Use Two Periods ;M ;3.45
meter_90;Time-Of-Use Two Periods ;T ;10.35
meter_91;Simple Tariff ;M ;3.45
meter_92;Time-Of-Use Two Periods ;T ;10.35
meter_93;Simple Tariff ;T ;6.9
meter_94;Time-Of-Use Three Periods ;T ;10.35
meter_95;Time-Of-Use Three Periods ;M ;4.6
meter_96;Simple Tariff ;M ;6.9
meter_97;Simple Tariff ;M ;4.6
