,installation_cost,meter_id,n_batteries,n_panels,savings per year,time for return
0,1900,meter_EDP,0,3,305.85582232697925,6.212077264197965
1,6700,meter_EDP,1,3,315.8930173868698,21.209712248228023
2,11500,meter_EDP,2,3,316.316643800511,36.35597501866711
3,2500,meter_EDP,0,4,371.47535765068505,6.729921510300724
4,7300,meter_EDP,1,4,395.0739246646299,18.47755456449529
5,12100,meter_EDP,2,4,400.6054422673551,30.204282626606783
6,4300,meter_EDP,0,7,533.2082435384377,8.064391449510707
7,9100,meter_EDP,1,7,589.0005094838984,15.449901746220421
8,13900,meter_EDP,2,7,619.1223712623178,22.45113509896199
9,18700,meter_EDP,3,7,638.6419206115363,29.280884007886105
10,23500,meter_EDP,4,7,648.8376140212517,36.21861540109524
11,6700,meter_EDP,0,11,699.8388573873622,9.573632457352304
12,11500,meter_EDP,1,11,782.5847757397751,14.694893584058141
13,16300,meter_EDP,2,11,832.9234942308906,19.569624476796854
14,21100,meter_EDP,3,11,873.8773697469412,24.14526423325297
15,25900,meter_EDP,4,11,904.8251238640319,28.624315701353133
16,30700,meter_EDP,5,11,927.5830650753489,33.09676637693487
17,9100,meter_EDP,0,15,824.6537868793905,11.034933865320282
18,13900,meter_EDP,1,15,925.3342146063437,15.021599526516315
19,18700,meter_EDP,2,15,987.9311431592344,18.928444689171968
20,23500,meter_EDP,3,15,1040.1417722507967,22.593073970241175
21,28300,meter_EDP,4,15,1085.27910871285,26.076241376804933
22,33100,meter_EDP,5,15,1123.0347677085217,29.473709053138545
23,37900,meter_EDP,6,15,1153.2468584055905,32.86373574205808
24,13300,meter_EDP,0,22,965.1723305587561,13.779922588850411
25,18100,meter_EDP,1,22,1069.5558083203186,16.92291310018231
26,22900,meter_EDP,2,22,1145.1650421059435,19.997117583931136
27,27700,meter_EDP,3,22,1213.754365843431,22.82175107213841
28,32500,meter_EDP,4,22,1276.0369673387686,25.469481552544817
29,37300,meter_EDP,5,22,1331.7975261126935,28.007260314465974
30,42100,meter_EDP,6,22,1380.6880535621249,30.49204336300552
31,20500,meter_EDP,0,34,1086.9014368276435,18.86095583775625
32,25300,meter_EDP,1,34,1180.5468119209563,21.430746959396274
33,30100,meter_EDP,2,34,1259.2630929272373,23.902868406974935
34,34900,meter_EDP,3,34,1333.6476173305,26.168831666237065
35,39700,meter_EDP,4,34,1402.5358879572937,28.305871058900735
36,44500,meter_EDP,5,34,1466.7338725888687,30.339518866810494
37,42100,meter_EDP,0,70,1214.9967938710624,34.65029719614859
38,152500,meter_EDP,0,254,1326.6343156447438,114.95255188381363
39,700,meter_215,0,1,58.09217814277753,12.049815007444844
40,5500,meter_215,1,1,73.03157903528626,75.30988748500968
41,700,meter_215,0,1,58.09217814277753,12.049815007444844
42,5500,meter_215,1,1,73.03157903528626,75.30988748500968
43,1300,meter_215,0,2,87.32075014442125,14.887641229030994
44,6100,meter_215,1,2,142.48224618397626,42.812351456921476
45,1900,meter_215,0,3,104.59931963691753,18.164554096481996
46,6700,meter_215,1,3,174.73667438588564,38.3434102975076
47,3100,meter_215,0,5,126.26230912574067,24.552061668005827
48,7900,meter_215,1,5,203.54002250279376,38.813005436763994
49,6700,meter_215,0,11,152.44492914884563,43.95029757571136
50,22300,meter_215,0,37,172.0204497248344,129.63574991038158
51,3100,meter_214,0,5,403.8160463370939,7.67676279365137
52,7900,meter_214,1,5,413.4120448480253,19.109264227906387
53,12700,meter_214,2,5,416.16210750981895,30.516954260907465
54,3700,meter_214,0,6,467.21405847787514,7.919282249455713
55,8500,meter_214,1,6,490.6689311158052,17.323289617442423
56,13300,meter_214,2,6,494.6382588805475,26.88833659996341
57,18100,meter_214,3,6,497.3955195369026,36.38955175320418
58,4300,meter_214,0,7,512.242134052655,8.394467604568407
59,9100,meter_214,1,7,562.5069128771374,16.177578962460892
60,13900,meter_214,2,7,575.3064278689344,24.161037191064864
61,18700,meter_214,3,7,579.0058990423718,32.29673485352786
62,4900,meter_214,0,8,546.8992825077801,8.959602173056963
63,9700,meter_214,1,8,609.0601048921551,15.926178585802393
64,14500,meter_214,2,8,646.867872660905,22.415705915883464
65,19300,meter_214,3,8,659.74288711403,29.253820506387946
66,24100,meter_214,4,8,663.7939785890301,36.30644564029837
67,6700,meter_214,0,11,612.9393872587175,10.93093401937307
68,11500,meter_214,1,11,682.5672962037193,16.848155579618783
69,16300,meter_214,2,11,743.7216318431726,21.916802338535657
70,21100,meter_214,3,11,798.8441479955163,26.413162132995218
71,25900,meter_214,4,11,848.4955395883737,30.524615382851316
72,9700,meter_214,0,16,670.2692500929302,14.471796220183357
73,14500,meter_214,1,16,744.54407006058,19.475005688810608
74,19300,meter_214,2,16,812.4421406418301,23.75553782174935
75,24100,meter_214,3,16,879.38944609298,27.405377796007624
76,28900,meter_214,4,16,943.4447929356202,30.632423027186192
77,16900,meter_214,0,28,731.9380390756476,23.089386119817917
